,singer,genre,content,likes,sentiment,release_filled,release_rank,year,scaled_likes,feature
0,JAX,POP,Ring Pop,21503,lonely,2021-01-06,0.8584488669440912,2021,0.0704420522967457,0.9288909192408369
1,Liv Dawson,POP,Pushing 21,830,lonely,2019-03-22,0.6410875611807069,2019,0.001927520581507414,0.6430150817622143
2,Amila,POP,Talk It Out,405,lonely,2020-03-27,0.7594816619590764,2020,0.0009494160505229993,0.7604310780095994
3,Lil Halima,R&B/Soul,Glue,1334,lonely,2020-04-03,0.762133724314884,2020,0.0031272123738214346,0.7652609366887054
4,Kristina Antuna,일렉트로니카,Get Out Of My Head,663,lonely,2019-06-25,0.6688803122102677,2019,0.0015396941512523079,0.67042000636152
5,Eden Nash,POP,Better off This Way,418,lonely,2019-11-22,0.7222665430475,2019,0.0009707272326145771,0.7232372702801146
6,Kailee Morgue,POP,Unfortunate Soul,4524,lonely,2018-01-19,0.5297009422367883,2018,0.011901849206411845,0.5416027914432001
7,Paige,POP,Too Much To H8,12451,lonely,2020-07-31,0.7989391750576771,2020,0.02918809690138732,0.8281272719590644
8,Natali Rachel,R&B/Soul,Dark Midnight,607,lonely,2020-12-23,0.8558614890359862,2020,0.0014229519572036063,0.8572844409931899
9,Zachary Knowles,POP,dancing in the kitchen,1735,lonely,2021-04-16,0.8926885012613468,2021,0.0056837167248688,0.8983722179862156
10,Maxine,POP,"I Like U, But I Love Me",3332,lonely,2020-06-05,0.7805903533926993,2020,0.007810998223068231,0.7884013516157675
11,Griff,POP,Didn't Break It Enough,1770,lonely,2019-08-30,0.6892774747191618,2019,0.004110495697913401,0.6933879704170752
12,Filous,일렉트로니카,Monday,730,lonely,2019-07-26,0.6787985941913367,2019,0.0016952891861450748,0.6804938833774817
13,Ashy,POP,Temporary Crush,137,lonely,2019-03-19,0.6398801181569246,2019,0.00031815701164640445,0.640198275168571
14,Whethan,일렉트로니카,Superlove (Feat. Oh Wonder),1294,lonely,2018-06-15,0.5622156579486406,2018,0.0034042866651407887,0.5656199446137814
15,Cate,POP,4AM,239,lonely,2020-11-11,0.837210806615063,2020,0.0005602726816666588,0.8377710792967297
16,Astrid S,POP,Down Low,1400,lonely,2019-09-26,0.6975786455076652,2019,0.0032512395350727465,0.700829885042738
17,Baby Ariel,POP,I Heart You,3268,lonely,2019-02-15,0.6300049591409906,2019,0.00758932200044124,0.6375942811414319
18,joan,POP,so good,1522,lonely,2021-05-06,0.898790400827961,2021,0.00498594631426531,0.9037763471422263
19,Alaina Castillo,POP,wishlist,4816,lonely,2020-11-27,0.8461156989154576,2020,0.011289846171157443,0.857405545086615
20,keshi,R&B/Soul,2 soon,105303,lonely,2018-10-29,0.59966795316846,2018,0.27703369296701735,0.8767016461354773
21,Haris,POP,Lipstick,78,lonely,2021-05-28,0.9083852605705169,2021,0.0002555215588125454,0.9086407821293295
22,Raffaella,POP,NASA's Fake,7185,lonely,2019-08-20,0.6852886004441666,2019,0.01668582575678406,0.7019744262009506
23,Wafia,POP,Pick Me,3817,lonely,2020-08-21,0.8031005411932125,2020,0.008947953246534045,0.8120484944397466
24,Abrina,R&B/Soul,Toda Tuya (Feat. Frankie J),431,lonely,2019-05-15,0.6574958494146058,2019,0.0010009173140116813,0.6584967667286175
25,Charlotte Lawrence,POP,You,975,lonely,2021-03-01,0.8762802130274479,2021,0.003194019485156818,0.8794742325126047
